id,year,img_tech,,vx_x,vx_y,vx_z,vx_avg,vx_vol,,tgt_vx_size,,exp_paper,exp_eff,,img_rate,vol_rate,,mouse_time,human_time,mouse_str,human_str,,mouse_scopes_1yr,human_scopes_1yr,mouse_scopes_1yr_str,human_scopes_1yr_str,,cost_scope,cost_scopes_mouse_1yr,cost_scopes_human_1yr
,,,,nm,nm,nm,nm3,mm3,,nm,,,,,mhz,mm3/sec,,sec,sec,,,,,,,,,$,,
Turner 2022,2022,ss - TEMCA,,4,4,40,8.00,5.13E-16,,50,,1.00,1.00,,500.0,2.56E-07,,1.95E+09,4.68E+12,61.9 years,148.4k years,,62,148450,62,148.5K,,,,
MICrONS 2021,2021,GridTape - autoTEM,,4,4,40,8.62,6.40E-16,,50,,1.00,1.00,,20.8,1.33E-08,,3.76E+10,9.02E+13,1.2k years,2.9M years,,1192,2860020,1.2K,2.9M,,,,
Shapson-Coe 2021,2021,ATUM - mSEM,,4,4,33,8.08,5.28E-16,,50,,1.00,1.00,,190.0,1.00E-07,,4.98E+09,1.20E+13,158 years,379.3k years,,159,379293,159,379.3K,,4000000,636000000,1517172000000
Phelps 2021,2021,GridTape - TEMCA,,4,4,45,9.41,8.32E-16,,50,,1.00,1.00,,42.7,3.56E-08,,1.41E+10,3.37E+13,445.9 years,1.1M years,,446,1070142,446,1.1M,,,,
Hoffman 2020,2020,FIB - SEM,,4,4,4,4.00,6.40E-17,,50,,1.00,1.00,,0.2,1.28E-11,,3.91E+13,9.38E+16,1.2M years,2972.8M years,,1238664,2972792999,1.2M,2972.8M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,11,11,40,16.92,4.84E-15,,50,,1.00,1.00,,1.0,4.84E-09,,1.03E+11,2.48E+14,3.3k years,7.9M years,,3276,7861932,3.3K,7.9M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,12,12,50,19.31,7.20E-15,,50,,1.00,1.00,,0.7,4.80E-09,,1.04E+11,2.50E+14,3.3k years,7.9M years,,3304,7927448,3.3K,7.9M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,12,12,50,19.31,7.20E-15,,50,,1.00,1.00,,0.5,3.60E-09,,1.39E+11,3.33E+14,4.4k years,10.6M years,,4405,10569931,4.4K,10.6M,,,,
Schwartz 2018,2018,SBF - SEM,,13,13,32,17.55,5.41E-15,,50,,1.00,1.00,,0.3,1.80E-09,,2.77E+11,6.66E+14,8.8k years,21.1M years,,8796,21108590,8.8K,21.1M,,,,
Schwartz 2018,2018,SBF - SEM,,13,13,32,17.55,5.41E-15,,50,,1.00,1.00,,0.3,1.80E-09,,2.77E+11,6.66E+14,8.8k years,21.1M years,,8796,21108590,8.8K,21.1M,,,,
Kornfeld 2017,2017,SBF - SEM,,11,11,29,15.20,3.51E-15,,50,,1.00,1.00,,2.1,7.47E-09,,6.70E+10,1.61E+14,2.1k years,5.1M years,,2124,5096701,2.1K,5.1M,,,,
Svara 2022,2022,SBF - SEM,,14,14,25,16.98,4.90E-15,,50,,1.00,1.00,,2.1,1.02E-08,,4.92E+10,1.18E+14,1.6k years,3.7M years,,1560,3743687,1.6K,3.7M,,,,
Svara 2018,2018,SBF - SEM,,9,9,21,11.94,1.70E-15,,50,,1.00,1.00,,5.0,8.51E-09,,5.88E+10,1.41E+14,1.9k years,4.5M years,,1865,4474045,1.9K,4.5M,,,,
Sievers 2024,2024,mSEM,,4,4,35,8.24,5.60E-16,,50,,1.00,1.00,,136.44,7.64E-08,,6.54E+09,1.57E+13,207.5 years,498k years,,208,498015,208,498K,,,,
Yin 2020,2020,autoTEM,,4,4,40,8.62,6.40E-16,,50,,1.00,1.00,,100.00,6.40E-08,,7.81E+09,1.88E+13,247.7 years,594.6k years,,248,594559,248,594.6K,,250000,62000000,148639750000
Zheng 2022,2022,bdTEM,,4,4,45,8.35,5.83E-16,,50,,1.00,1.00,,288.00,1.68E-07,,2.98E+09,7.14E+12,94.4 years,226.6k years,,95,226551,95,226.6K,,500000,47500000,113275500000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavakoli 2024,2024,LICONN,,10,10,26,13.46,2.44E-15,,50,,16.00,16.00,,16.65,4.06E-08,,1.23E+10,2.96E+13,390.8 years,937.8k years,,391,937815,391,937.8K,,,,
Gao 2018,2018,ExLSSM,,31,26,42,32.46,3.42E-14,,50,,3.95,3.95,,32.81,1.12E-06,,4.46E+08,1.07E+12,14.1 years,33.9k years,,15,33921,15,33.9K,,,,
Wang 2024,2024,VIPS,,56,56,135,75.09,4.23E-13,,50,,1.93,2.90,,165.85,7.02E-05,,2.41E+07,5.79E+10,0.8 years,1.8k years,,1,1836,1,1.8K,,300000,300000,550800000
Prince 2024,2024,ALSM,,425,425,425,425.00,7.68E-11,,50,,1.00,8.50,,18.03,1.38E-03,,2.22E+08,5.32E+11,7 years,16.9k years,,8,16884,8,16.9K,,104000,832000,1755936000
Chakraborty 2019,2019,ctALSM,,425,425,425,425.00,7.68E-11,,50,,1.00,8.50,,12.34,9.47E-04,,3.24E+08,7.78E+11,10.3 years,24.7k years,,11,24669,11,24.7K,,120000,1320000,2960280000
Chen 2023,2023,pLSM,,910,910,5000,1605.77,4.14E-09,,50,,1.00,32.12,,44.5,1.84E-01,,8.99E+07,2.16E+11,2.9 years,6.8k years,,3,6841,3,6.8K,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economo 2016,2016,2p tomography,,300,300,1000,448.14,9.00E-11,,50,,1.00,8.96,,16,1.44E-03,,2.50E+08,6.00E+11,7.9 years,19k years,,8,19026,8,19K,,,,
Gong 2016,2016,fMOST,,320,320,2000,589.45,2.05E-10,,50,,1.00,11.79,,4,8.19E-04,,1.00E+09,2.40E+12,31.7 years,76.1k years,,32,76104,32,76.1K,,,,
Narasimhan 2017,2017,Oblique light-sheet,,410,410,410,410.00,6.89E-11,,50,,1.00,8.20,,419,2.89E-02,,9.55E+06,2.29E+10,0.3 years,726.5 years,,1,727,1,727,,,,
Migliori 2018,2018,Light-sheet theta,,230,230,5000,641.91,2.65E-10,,50,,1.00,12.84,,105,2.78E-02,,3.81E+07,9.14E+10,1.2 years,2.9k years,,2,2900,2,2.9K,,,,
Voleti 2019,2019,SCAPE 2.0,,240,240,240,240.00,1.38E-11,,50,,4.00,19.20,,419,5.79E-03,,9.55E+06,2.29E+10,0.3 years,726.5 years,,1,727,1,727,,400000,400000,290800000
Chen 2020,2020,Multifocal 2p tomography,,400,400,1000,542.88,1.60E-10,,50,,1.00,10.86,,77,1.23E-02,,5.19E+07,1.25E+11,1.6 years,4k years,,2,3954,2,4K,,,,
Guo 2020,2020,Dual-inverted SPIM,,240,240,240,240.00,1.38E-11,,50,,1.00,4.80,,419,5.79E-03,,9.55E+06,2.29E+10,0.3 years,726.5 years,,1,727,1,727,,250000,250000,181750000
Chen 2020,2020,Tiling SPIM,,300,300,1500,512.99,1.35E-10,,50,,1.00,10.26,,105,1.42E-02,,3.81E+07,9.14E+10,1.2 years,2.9k years,,2,2900,2,2.9K,,,,
Wang 2021,2021,fMOST,,230,230,1000,375.39,5.29E-11,,50,,1.00,7.51,,136,7.19E-03,,2.94E+07,7.06E+10,0.9 years,2.2k years,,1,2239,1,2.2K,,,,
Zhang 2021,2021,Axially-swept SPIM,,520,520,1000,646.65,2.70E-10,,50,,1.00,12.93,,84,2.27E-02,,4.76E+07,1.14E+11,1.5 years,3.6k years,,2,3624,2,3.6K,,,,
Xu 2021,2021,VISOR2 SPIM,,1000,1000,2500,1357.21,2.50E-09,,50,,1.00,27.14,,373,9.33E-01,,1.07E+07,2.57E+10,0.3 years,816.1 years,,1,817,1,817,,,,
Glaser 2022,2022,Open-top light-sheet,,200,200,200,200.00,8.00E-12,,50,,1.00,4.00,,105,8.40E-04,,3.81E+07,9.14E+10,1.2 years,2.9k years,,2,2900,2,2.9K,,,,
Qi 2023,2023,Confocal airy light-sheet,,260,260,1060,415.35,7.17E-11,,50,,1.00,8.31,,419,3.00E-02,,9.55E+06,2.29E+10,0.3 years,726.5 years,,1,727,1,727,,,,
Vladimirov 2024,2024,Benchtop mesoSPIM,,750,750,2000,1040.04,1.13E-09,,50,,1.00,20.80,,37,4.16E-02,,1.08E+08,2.59E+11,3.4 years,8.2k years,,4,8228,4,8.2K,,100000,400000,822800000
Tang 2024,2024,Curved LSFM,,630,630,1250,791.64,4.96E-10,,50,,1.00,15.83,,130,6.45E-02,,3.08E+07,7.38E+10,1 years,2.3k years,,1,2342,1,2.3K,,90000,90000,210780000
Glaser 2023,2023,ExA-SPIM (1×),,750,750,1000,825.48,5.63E-10,,50,,1.00,16.51,,725,4.08E-01,,5.52E+06,1.32E+10,0.2 years,419.9 years,,1,420,1,420,,250000,250000,105000000
Glaser 2023,2023,ExA-SPIM (2×),,380,380,500,416.40,7.22E-11,,50,,2.00,16.66,,725,5.23E-02,,5.52E+06,1.32E+10,0.2 years,419.9 years,,1,420,1,420,,250000,250000,105000000
Glaser 2023,2023,ExA-SPIM (3×),,250,250,330,274.24,2.06E-11,,50,,3.00,16.45,,725,1.50E-02,,5.52E+06,1.32E+10,0.2 years,419.9 years,,1,420,1,420,,250000,250000,105000000
Glaser 2023,2023,ExA-SPIM (4×),,190,190,250,208.20,9.03E-12,,50,,4.00,16.66,,725,6.54E-03,,5.52E+06,1.32E+10,0.2 years,419.9 years,,1,420,1,420,,250000,250000,105000000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacureanu 2019,2019,XNH,,100,100,100,100.00,1.00E-12,,50,,1.00,2.00,,250,2.50E-04,,1.60E+07,3.84E+10,0.5 years,1.2k years,,1,1218,1,1.2K,,,,
Humbel 2024,2024,µXCT,,650,650,650,650.00,2.75E-10,,50,,1.00,13.00,,115.18,3.16E-02,,3.47E+07,8.33E+10,1.1 years,2.6k years,,2,2643,2,2.6K,,,,
Wildenberg 2024,2024,µXCT,,345,345,1600,575.33,1.90E-10,,50,,1.00,11.51,,2.88,5.48E-04,,1.39E+09,3.33E+12,44 years,105.7k years,,45,105700,45,105.7K,,,,
