project	cost ($B, 2024 dollars)	field	source	notes (mostly inflation adjustments)
Chooz B	9.45	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Gravelines	9.42	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Hamaoka	9.32	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Leibstadt	9.28	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Fermi	9.05	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Sendai	8.97	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Perry	8.92	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Bay Bridge east span	8.81	infrastructure	https://www.bloomberg.com/news/articles/2015-10-13/how-the-cost-of-remaking-the-san-francisco-bay-bridge-soared-to-6-5-billion
Grand Gulf	8.31	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Kashiwazai-Kariwa	8.3	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Salem	7.96	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Tsuruga	7.9	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010935	2016->2024
Waterford	7.9	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010939	2016->2024
LaSalle	7.59	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Cruas	7.52	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Chinon B	7.51	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Penly	7.4	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Golfech	7.34	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
St. Lucie	7.19	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010928	2016->2024
Callaway	7.18	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Sequoyah	6.79	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Prairie State	6.78	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Wolf Creek	6.78	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010940	2016->2024
Grand Ethiopian Renaissance Dam	6.67	energy	https://www.tandfonline.com/doi/full/10.1080/14678802.2023.2257137	2014->2024
Blayais	6.65	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Joseph M. Farley	6.44	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Nogent	6.24	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Longtan Dam	6.2	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
McGuire	6.15	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
W.A.C. Bennet	6.09	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010937	2016->2024
Belleville	6.01	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Yacyreta	5.96	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010941	2016->2024
North Anna	5.95	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Flamanville	5.74	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
Dampierre	5.51	energy	https://www.sciencedirect.com/science/article/pii/S0301421513010926	2016->2024
SoFi stadium	5.5	sports	https://www.dazn.com/en-US/news/american-football/los-angeles-rams-chargers-stadium-what-is-sofi-stadiumss-capacity-and-how-much-did-it-cost/njseve2ipd4t1skh8632hyclk
