Year	Month	normalized_best_yield	Authors	Method	source	Publication	Method Note	doi	initial_submission	normalized_technology	include	title	abstract	paper_type	channels	probes	stimulation	indicator	detailed_technology	detailed_yield	areas	free_behavior	normalized_species	is_neuropixels	normalized_chronic	normalized_quotes	date_float	cutting_edge	effective_temporal_resolution_hz	calculated_information_rate
2004.0	3.0	143	Hatsopoulos et al.	Ephys	S&K	Journal of Neurophysiology		10.1152/jn.01245.2003	2004-03-01	extracellular_electrophysiology																	2004.163604	2	200.0	28600.0
2007.0	7.0	140	Hamed et al.	Ephys	S&K	Journal of Neurophysiology		10.1152/jn.00760.2006	2007-07-01	extracellular_electrophysiology																	2007.495636	8	200.0	28000.0
1998.0	11.0	135	Nicolelis et al.	Ephys	Stevenson	Nature Neuroscience		10.1038/2855	1998-11-01	extracellular_electrophysiology																	1998.832899	1	200.0	27000.0
2020.0	7.0	16000	Ota et al.	Imaging	Urai	bioRxiv		10.1101/2020.07.14.201699	2020-07-01	calcium_imaging																	2020.497957	5	1.56	24960.0
1996.0	2.0	117	Skaggs et al.	Ephys	Stevenson	Hippocampus	Tetrodes	10.1002/(SICI)1098-1063(1996)6:2%3C149::AID-HIPO6%3E3.0.CO;2-K	1996-02-01	extracellular_electrophysiology																	1996.08404	1	200.0	23400.0
2005.0	5.0	100	Blanche et al.	Ephys	Stevenson	Journal of Neurophysiology		10.1152/jn.01023.2004	2005-05-01	extracellular_electrophysiology																	2005.329952	8	200.0	20000.0
2000.0	11.0	100	Wessberg et al.	Ephys	S&K	Nature		10.1038/35042582	2000-11-01	extracellular_electrophysiology																	2000.834309	4	200.0	20000.0
1997.0	4.0	100	Nicolelis et al.	Ephys	S&K	Neuron		10.1016/S0896-6273(00)80295-0	1997-04-01	extracellular_electrophysiology																	1997.247651	2	200.0	20000.0
2003.0	8.0	96	Csicsvari et al.	Ephys	Stevenson	Journal of Neurophysiology		10.1152/jn.00116.2003	2003-08-01	extracellular_electrophysiology																	2003.580429	5	200.0	19200.0
2004.0	10.0	90	Stein et al.	Ephys	Stevenson	Journal of Physiology		10.1113/jphysiol.2004.068668	2004-10-01	extracellular_electrophysiology																	2004.749516	10	200.0	18000.0
2003.0	10.0	90	Carmena et al.	Ephys	S&K	PLoS Biology		10.1371/journal.pbio.0000042	2003-10-01	extracellular_electrophysiology																	2003.747442	6	200.0	18000.0
1991.0	5.0	82	Meister et al.	Ephys	Stevenson	Science	isolated retina	10.1126/science.2035024	1991-05-01	extracellular_electrophysiology																	1991.328296	0	200.0	16400.0
2017.0	2.0	511	Song et al.	Imaging	Charles	Nature Methods	2p; ~1K at 30Hz	10.1038/nmeth.4226	2017-02-01	calcium_imaging																	2017.086525	6	30.0	15330.0
2016.0	6.0	3000	Sofroniew et al.	Imaging	Urai	eLife	mouse mesoscope	10.7554/eLife.14472	2016-06-01	calcium_imaging																	2016.415737	1	5.0	15000.0
1994.0	7.0	74	Wilson and McNaughton	Ephys	Stevenson	Science	Tetrodes HC	10.1126/science.8036517	1994-07-01	extracellular_electrophysiology																	1994.496054	2	200.0	14800.0
2003.0	7.0	68	Harris et al.	Ephys	Stevenson	Nature		10.1038/nature01834	2003-07-01	extracellular_electrophysiology																	2003.495554	8	200.0	13600.0
1999.0	7.0	68	Normann et al.	Ephys	Stevenson	Vision Research		10.1016/S0042-6989(99)00040-1	1999-07-01	extracellular_electrophysiology																	1999.495472	6	200.0	13600.0
2002.0	6.0	64	Taylor et al.	Ephys	S&K	Science		10.1126/science.1070291	2002-06-01	extracellular_electrophysiology																	2002.414081	8	200.0	12800.0
1999.0	12.0	62	Williams et al.	Ephys	Stevenson	Brain Research Protocols		10.1016/S1385-299X(99)00034-3	1999-12-01	extracellular_electrophysiology																	1999.914372	7	200.0	12400.0
1996.0	3.0	57	Skaggs et al.	Ephys	Stevenson	Science	Tetrodes	10.1126/science.271.5257.1870	1996-03-01	extracellular_electrophysiology																	1996.163439	3	200.0	11400.0
2000.0	1.0	52	Porada et al.	Ephys	Stevenson	Journal of Neuroscience Methods		10.1016/S0165-0270(99)00139-9	2000-01-01	extracellular_electrophysiology																	1999.999247	8	200.0	10400.0
1996.0	7.0	51	Nordhausen et al.	Ephys	Stevenson	Brain Research		10.1016/0006-8993(96)00321-6	1996-07-01	extracellular_electrophysiology																	1996.497464	5	200.0	10200.0
1995.0	6.0	48	Nicolelis et al.	Ephys	S&K	Science		10.1126/science.7761855	1995-06-01	extracellular_electrophysiology																	1995.413253	3	200.0	9600.0
1999.0	7.0	46	Chapin et al.	Ephys	S&K	Nature Neuroscience		10.1038/10223	1999-07-01	extracellular_electrophysiology																	1999.495472	9	200.0	9200.0
2016.0	10.0	3000	Prevedel et al.	Imaging	Rupprecht	Nature Methods	2p; 100s of neurons at 10Hz or 1000s of neurons at 3Hz	10.1038/nmeth.4040	2016-10-01	calcium_imaging																	2016.749762	1	3.0	9000.0
1998.0	9.0	34	Brown et al.	Ephys	Stevenson	Journal of Neuroscience		10.1523/JNEUROSCI.18-18-07411.1998	1998-09-01	extracellular_electrophysiology																	1998.665886	8	200.0	6800.0
1997.0	4.0	32	Chang et al.	Ephys	S&K	Brain Research		10.1016/S0006-8993(97)00012-7	1997-04-01	extracellular_electrophysiology																	1997.247651	7	200.0	6400.0
1993.0	2.0	30	Shaw et al.	Ephys	Stevenson	Neurological Research		10.1080/01616412.1993.11740106	1993-02-01	extracellular_electrophysiology																	1993.086032	1	200.0	6000.0
1996.0	12.0	29	McHugh et al.	Ephys	Stevenson	Cell		10.1016/S0092-8674(00)81828-0	1996-12-01	extracellular_electrophysiology																	1996.916364	8	200.0	5800.0
1988.0	8.0	29	Aiple and Kruger	Ephys	Stevenson	Experimental Brain Research		10.1007/BF00248509	1988-08-01	extracellular_electrophysiology																	1988.582175	0	200.0	5800.0
1996.0	1.0	23	Gothard et al.	Ephys	Stevenson	Journal of Neuroscience		10.1523/JNEUROSCI.16-02-00823.1996	1996-01-01	extracellular_electrophysiology																	1995.999165	7	200.0	4600.0
1993.0	3.0	23	Nicolelis et al.	Ephys	Stevenson	Proc. of the National Academy of Sciences		10.1073/pnas.90.6.2212	1993-03-01	extracellular_electrophysiology																	1993.162693	2	200.0	4600.0
1988.0	7.0	19	Eckhorn et al.	Ephys	S&K	Biological Cybernetics		10.1007/BF00202899	1988-07-01	extracellular_electrophysiology																	1988.4973	1	200.0	3800.0
1985.0	7.0	19	Kuperstein and Eichenbaum	Ephys	Stevenson	Neuroscience		10.1016/0306-4522(85)90072-7	1985-07-01	extracellular_electrophysiology																	1985.496554	0	200.0	3800.0
1981.0	1.0	18	Kruger and Bach	Ephys	S&K	Experimental Brain Research	30 channel array	10.1007/BF00236609	1981-01-01	extracellular_electrophysiology																	1981.00091	0	200.0	3600.0
1995.0	2.0	16	Vaadia et al.	Ephys	S&K	Nature		10.1038/373515a0	1995-02-01	extracellular_electrophysiology																	1995.084704	9	200.0	3200.0
1988.0	5.0	15	Espinosa and Gerstein	Ephys	Stevenson	Brain Research	Bundle of 7 microeelctrodes	10.1016/0006-8993(88)91542-9	1988-05-01	extracellular_electrophysiology																	1988.330287	2	200.0	3000.0
1989.0	6.0	14	Buzsaki et al.	Ephys	Stevenson	Journal of Neuroscience Methods		10.1016/0165-0270(89)90038-1	1989-06-01	extracellular_electrophysiology																	1989.414499	6	200.0	2800.0
1986.0	1.0	14	Kuperstein et al.	Ephys	Stevenson	Experimental Brain Research		10.1007/BF00239532	1986-01-01	extracellular_electrophysiology																	1986.000329	1	200.0	2800.0
1976.0	9.0	12	Schmidt et al.	Ephys	S&K	Experimental Neurology	12 electrodes	10.1016/0014-4886(76)90220-X	1976-09-01	extracellular_electrophysiology																	1976.666804	0	200.0	2400.0
1990.0	11.0	11	Ahissar and Vaadia	Ephys	S&K	Proc. of the National Academy of Sciences		10.1073/pnas.87.22.8935	1990-11-01	extracellular_electrophysiology																	1990.832734	7	200.0	2200.0
1991.0	1.0	10	Mountcastle et al.	Ephys	S&K	Journal of Neuroscience Methods		10.1016/0165-0270(91)90140-U	1991-01-01	extracellular_electrophysiology																	1990.999747	9	200.0	2000.0
1984.0	1.0	10	Kubie	Ephys	Stevenson	Physiology and Behavior		10.1016/0031-9384(84)90080-5	1984-01-01	extracellular_electrophysiology																	1983.998919	2	200.0	2000.0
1989.0	4.0	9	Lindsey et al.	Ephys	S&K	Brain Research		10.1016/0006-8993(89)90183-2	1989-04-01	extracellular_electrophysiology																	1989.247486	8	200.0	1800.0
1988.0	6.0	8	Mioche and Singer	Ephys	S&K	Journal of Neuroscience Methods	Floating	10.1016/0165-0270(88)90131-8	1988-06-01	extracellular_electrophysiology																	1988.415163	7	200.0	1600.0
1988.0	9.0	8	Drake et al.	Ephys	Stevenson	IEEE Transactions in Biomedical Engineering		10.1109/10.7273	1988-09-01	extracellular_electrophysiology																	1988.66705	10	200.0	1600.0
1987.0	4.0	8	Lindsey et al.	Ephys	S&K	Journal of Neurophysiology		10.1152/jn.1987.57.4.1101	1987-04-01	extracellular_electrophysiology																	1987.246076	6	200.0	1600.0
1970.0	11.0	8	Humphrey, Schmidt, and Thompson	Ephys	Stevenson	Science		10.1126/science.170.3959.758	1970-11-01	extracellular_electrophysiology																	1970.832324	0	200.0	1600.0
1985.0	4.0	7	Legendy and Salcman	Ephys	S&K	Journal of Neurophysiology		10.1152/jn.1985.53.4.926	1985-04-01	extracellular_electrophysiology																	1985.247404	6	200.0	1400.0
1982.0	6.0	7	Reitboeck and Werner	Ephys	S&K	Experimentia		10.1007/BF01955338	1982-06-01	extracellular_electrophysiology																	1982.41367	4	200.0	1400.0
