Year,Month,Neurons,Authors,Method,Source,Publication,Method Note,DOI
1976,9,4,Schmidt et al.,Ephys,Stevenson,Experimental Neurology,7 electrode assembly,https://doi.org/10.1016/0014-4886(76)90217-X
1977,3,2,Schmidt et al.,Ephys,Stevenson,Experimental Neurology,12 electrodes,https://doi.org/10.1016/0014-4886(77)90250-3
1977,5,6,Abeles and Goldstein,Ephys,Stevenson,Proceedings of the IEEE,1 electrode - focus on sorting,https://doi.org/10.1109/PROC.1977.10559
1977,9,3,Loeb et al.,Ephys,S&K,Science,,https://doi.org/10.1126/science.897663
1978,7,7,Durelli et al.,Ephys,S&K,Experimental Neurology,7 electrode assembly,https://doi.org/10.1016/0014-4886(78)90270-4
1978,9,2,Schmidt et al.,Ephys,Stevenson,Experimental Neurology,,https://doi.org/10.1016/0014-4886(78)90252-2
1981,1,2,Costanzo and Gardner,Ephys,Stevenson,Brain Research,,https://doi.org/10.1016/0006-8993(81)91196-3
1981,1,18,Kruger and Bach,Ephys,S&K,Experimental Brain Research,30 channel array,https://doi.org/10.1007/BF00236609
1981,3,5,Kuperstein and Whittington,Ephys,Stevenson,IEEE Transactions in Biomedical Engineering,24 channel microelectrode,https://doi.org/10.1109/TBME.1981.324702
1982,5,6,Kruger,Ephys,Stevenson,Journal of Neuroscience Methods,12 glass-coated wire microelectrodes of different lengths,https://doi.org/10.1016/0165-0270(82)90035-8
1982,6,7,Reitboeck and Werner,Ephys,S&K,Experimentia,,https://doi.org/10.1007/BF01955338
1982,12,5,Wheeler and Heetderks,Ephys,S&K,IEEE Transactions in Biomedical Engineering,,https://doi.org/10.1109/TBME.1982.324870
1983,6,5,Michalski et al.,Ephys,Stevenson,Experimental Brain Research,,https://doi.org/10.1007/BF00236807
1983,8,6,Frostig et al.,Ephys,Stevenson,Brain Research,,https://doi.org/10.1016/0006-8993(83)90567-X
1983,8,5,McNaughton et al.,Ephys,S&K,Journal of Neuroscience Methods,Stereotrode,https://doi.org/10.1016/0165-0270(83)90097-3
1984,1,10,Kubie,Ephys,Stevenson,Physiology and Behavior,,https://doi.org/10.1016/0031-9384(84)90080-5
1984,1,4,Frostig et al.,Ephys,S&K,Brain Research,,https://doi.org/10.1016/0006-8993(84)91181-8
1984,9,3,Legendy et al.,Ephys,Stevenson,Electroencephalography and Clinical Neurophysiology,,https://doi.org/10.1016/0013-4694(84)90115-9
1985,4,7,Legendy and Salcman,Ephys,S&K,Journal of Neurophysiology,,https://doi.org/10.1152/jn.1985.53.4.926
1985,7,19,Kuperstein and Eichenbaum,Ephys,Stevenson,Neuroscience,,https://doi.org/10.1016/0306-4522(85)90072-7
1986,1,14,Kuperstein et al.,Ephys,Stevenson,Experimental Brain Research,,https://doi.org/10.1007/BF00239532
1986,2,6,Lou and Bloedel,Ephys,Stevenson,Brain Research,,https://doi.org/10.1016/0006-8993(86)91646-X
1987,4,8,Lindsey et al.,Ephys,S&K,Journal of Neurophysiology,,https://doi.org/10.1152/jn.1987.57.4.1101
1988,5,15,Espinosa and Gerstein,Ephys,Stevenson,Brain Research,Bundle of 7 microeelctrodes,https://doi.org/10.1016/0006-8993(88)91542-9
1988,6,8,Mioche and Singer,Ephys,S&K,Journal of Neuroscience Methods,Floating,https://doi.org/10.1016/0165-0270(88)90131-8
