Organism	Total Neuron Count	Maximum Neuron Firing Rate (Hz)	Average Liftime in Minutes	Isotropic resolution Single Neuron recording in µm	ref_id	supporting_refs	ref_note	confidence	validated_by
C. Elegans	302	10	21600	1				none	none
Zebrafish Larvae	100000	80	14400	1				none	none
Drosophila	140000	200	57600	1				none	none
Mouse	70000000	200	1576800	1				none	none
Human	87000000000	415	39420000	1				none	none
