id,year,img_tech,,vx_x,vx_y,vx_z,vx_avg,vx_vol,,tgt_vx_size,,exp_paper,exp_eff,,img_rate,vol_rate,,mouse_time,human_time,mouse_str,human_str,,mouse_scopes_1yr,human_scopes_1yr,mouse_scopes_1yr_str,human_scopes_1yr_str,,cost_scope,cost_scopes_mouse_1yr,cost_scopes_human_1yr
Loomba 2022,2022,SBF - SEM,,11,11,30,15.59,3.79E-15,,10,,1.00,1.56,,2.5,9.48E-09,,2.00E+11,4.80E+14,6.3k years,15.2M years,,6342,15220701,6.3K,15.2M,,,,
Loomba 2022,2022,SBF - SEM,,11,11,30,15.59,3.79E-15,,10,,1.00,1.56,,1.4,5.41E-09,,3.50E+11,8.40E+14,11.1k years,26.6M years,,11099,26636226,11.1K,26.6M,,,,
Loomba 2022,2022,ATUM - mSEM,,4,4,37,8.39,5.90E-16,,10,,1.00,1.00,,20.0,1.18E-08,,4.23E+10,1.02E+14,1.3k years,3.2M years,,1343,3222540,1.3K,3.2M,,,,
Loomba 2022,2022,ATUM - mSEM,,4,4,40,8.63,6.43E-16,,10,,1.00,1.00,,20.0,1.29E-08,,3.89E+10,9.33E+13,1.2k years,3M years,,1233,2958003,1.2K,3M,,,,
Scheffer 2020,2020,FIB - SEM,,8,8,8,8.00,5.12E-16,,10,,1.00,1.00,,0.3,1.39E-10,,3.59E+12,8.63E+15,114k years,273.5M years,,113958,273496956,114K,273.5M,,,,
Bosch 2022,2022,SBF - SEM,,50,50,50,50.00,1.25E-13,,10,,1.00,5.00,,2.0,2.50E-07,,2.50E+11,6.00E+14,7.9k years,19M years,,7928,19025876,7.9K,19M,,,,
Turner 2022,2022,ss - TEMCA,,4,4,40,8.00,5.13E-16,,10,,1.00,1.00,,500.0,2.56E-07,,1.95E+09,4.68E+12,61.9 years,148.4k years,,62,148450,62,148.5K,,,,
MICrONS 2021,2021,GridTape - autoTEM,,4,4,40,8.62,6.40E-16,,10,,1.00,1.00,,20.8,1.33E-08,,3.76E+10,9.02E+13,1.2k years,2.9M years,,1192,2860020,1.2K,2.9M,,,,
Shapson-Coe 2021,2021,ATUM - mSEM,,4,4,33,8.08,5.28E-16,,10,,1.00,1.00,,190.0,1.00E-07,,4.98E+09,1.20E+13,158 years,379.3k years,,159,379293,159,379.3K,,4000000,636000000,1517172000000
Phelps 2021,2021,GridTape - TEMCA,,4,4,45,9.41,8.32E-16,,10,,1.00,1.00,,42.7,3.56E-08,,1.41E+10,3.37E+13,445.9 years,1.1M years,,446,1070142,446,1.1M,,,,
Hoffman 2020,2020,FIB - SEM,,4,4,4,4.00,6.40E-17,,10,,1.00,1.00,,0.2,1.28E-11,,3.91E+13,9.38E+16,1.2M years,2972.8M years,,1238664,2972792999,1.2M,2972.8M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,11,11,40,16.92,4.84E-15,,10,,1.00,1.69,,1.0,4.84E-09,,5.00E+11,1.20E+15,15.9k years,38.1M years,,15855,38051751,15.9K,38.1M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,12,12,50,19.31,7.20E-15,,10,,1.00,1.93,,0.7,4.80E-09,,7.50E+11,1.80E+15,23.8k years,57.1M years,,23783,57077626,23.8K,57.1M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,12,12,50,19.31,7.20E-15,,10,,1.00,1.93,,0.5,3.60E-09,,1.00E+12,2.40E+15,31.7k years,76.1M years,,31710,76103501,31.7K,76.1M,,,,
Schwartz 2018,2018,SBF - SEM,,13,13,32,17.55,5.41E-15,,10,,1.00,1.76,,0.3,1.80E-09,,1.50E+12,3.60E+15,47.6k years,114.2M years,,47565,114155252,47.6K,114.2M,,,,
Schwartz 2018,2018,SBF - SEM,,13,13,32,17.55,5.41E-15,,10,,1.00,1.76,,0.3,1.80E-09,,1.50E+12,3.60E+15,47.6k years,114.2M years,,47565,114155252,47.6K,114.2M,,,,
Kornfeld 2017,2017,SBF - SEM,,11,11,29,15.20,3.51E-15,,10,,1.00,1.52,,2.1,7.47E-09,,2.35E+11,5.64E+14,7.5k years,17.9M years,,7452,17884323,7.5K,17.9M,,,,
Svara 2022,2022,SBF - SEM,,14,14,25,16.98,4.90E-15,,10,,1.00,1.70,,2.1,1.02E-08,,2.41E+11,5.78E+14,7.6k years,18.3M years,,7644,18344062,7.6K,18.3M,,,,
Svara 2018,2018,SBF - SEM,,9,9,21,11.94,1.70E-15,,10,,1.00,1.19,,5.0,8.51E-09,,1.00E+11,2.40E+14,3.2k years,7.6M years,,3171,7610351,3.2K,7.6M,,,,
Sievers 2024,2024,mSEM,,4,4,35,8.24,5.60E-16,,10,,1.00,1.00,,136.44,7.64E-08,,6.54E+09,1.57E+13,207.5 years,498k years,,208,498015,208,498K,,,,
Yin 2020,2020,autoTEM,,4,4,40,8.62,6.40E-16,,10,,1.00,1.00,,100.00,6.40E-08,,7.81E+09,1.88E+13,247.7 years,594.6k years,,248,594559,248,594.6K,,250000,62000000,148639750000
Zheng 2022,2022,bdTEM,,4,4,45,8.35,5.83E-16,,10,,1.00,1.00,,288.00,1.68E-07,,2.98E+09,7.14E+12,94.4 years,226.6k years,,95,226551,95,226.6K,,500000,47500000,113275500000
,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
Tavakoli 2024,2024,LICONN,,10,10,26,13.46,2.44E-15,,10,,16.00,21.53,,16.65,4.06E-08,,3.00E+10,7.21E+13,952.2 years,2.3M years,,953,2285391,953,2.3M,,,,
Gao 2018,2018,ExLSSM,,31,26,42,32.46,3.42E-14,,10,,3.95,12.82,,32.81,1.12E-06,,1.52E+10,3.66E+13,483.2 years,1.2M years,,484,1159722,484,1.2M,,,,
Wang 2024,2024,VIPS,,56,56,135,75.09,4.23E-13,,10,,1.93,14.49,,165.85,7.02E-05,,3.01E+09,7.24E+12,95.6 years,229.4k years,,96,229433,96,229.4K,,300000,28800000,68829900000
Prince 2024,2024,ALSM,,425,425,425,425.00,7.68E-11,,10,,1.00,42.50,,18.03,1.38E-03,,2.77E+10,6.66E+13,879.4 years,2.1M years,,880,2110469,880,2.1M,,104000,91520000,219488776000
Chakraborty 2019,2019,ctALSM,,425,425,425,425.00,7.68E-11,,10,,1.00,42.50,,12.34,9.47E-04,,4.05E+10,9.72E+13,1.3k years,3.1M years,,1285,3083611,1.3K,3.1M,,120000,154200000,370033320000
Chen 2023,2023,pLSM,,910,910,5000,1605.77,4.14E-09,,10,,1.00,160.58,,44.5,1.84E-01,,1.12E+10,2.70E+13,356.3 years,855.1k years,,357,855096,357,855.1K,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economo 2016,2016,2p tomography,,300,300,1000,448.14,9.00E-11,,10,,1.00,44.81,,16,1.44E-03,,3.13E+10,7.50E+13,990.9 years,2.4M years,,991,2378235,991,2.4M,,,,
Gong 2016,2016,fMOST,,320,320,2000,589.45,2.05E-10,,10,,1.00,58.94,,4,8.19E-04,,1.25E+11,3.00E+14,4k years,9.5M years,,3964,9512938,4K,9.5M,,,,
Narasimhan 2017,2017,Oblique light-sheet,,410,410,410,410.00,6.89E-11,,10,,1.00,41.00,,419,2.89E-02,,1.19E+09,2.86E+12,37.8 years,90.8k years,,38,90816,38,90.8K,,,,
Migliori 2018,2018,Light-sheet theta,,230,230,5000,641.91,2.65E-10,,10,,1.00,64.19,,105,2.78E-02,,4.76E+09,1.14E+13,151 years,362.4k years,,151,362398,151,362.4K,,,,
Voleti 2019,2019,SCAPE 2.0,,240,240,240,240.00,1.38E-11,,10,,4.00,96.00,,419,5.79E-03,,1.19E+09,2.86E+12,37.8 years,90.8k years,,38,90816,38,90.8K,,400000,15200000,36326400000
Chen 2020,2020,Multifocal 2p tomography,,400,400,1000,542.88,1.60E-10,,10,,1.00,54.29,,77,1.23E-02,,6.49E+09,1.56E+13,205.9 years,494.2k years,,206,494179,206,494.2K,,,,
Guo 2020,2020,Dual-inverted SPIM,,240,240,240,240.00,1.38E-11,,10,,1.00,24.00,,419,5.79E-03,,1.19E+09,2.86E+12,37.8 years,90.8k years,,38,90816,38,90.8K,,250000,9500000,22704000000
Chen 2020,2020,Tiling SPIM,,300,300,1500,512.99,1.35E-10,,10,,1.00,51.30,,105,1.42E-02,,4.76E+09,1.14E+13,151 years,362.4k years,,151,362398,151,362.4K,,,,
Wang 2021,2021,fMOST,,230,230,1000,375.39,5.29E-11,,10,,1.00,37.54,,136,7.19E-03,,3.68E+09,8.82E+12,116.6 years,279.8k years,,117,279793,117,279.8K,,,,
Zhang 2021,2021,Axially-swept SPIM,,520,520,1000,646.65,2.70E-10,,10,,1.00,64.66,,84,2.27E-02,,5.95E+09,1.43E+13,188.7 years,453k years,,189,452998,189,453K,,,,
Xu 2021,2021,VISOR2 SPIM,,1000,1000,2500,1357.21,2.50E-09,,10,,1.00,135.72,,373,9.33E-01,,1.34E+09,3.22E+12,42.5 years,102k years,,43,102016,43,102K,,,,
Glaser 2022,2022,Open-top light-sheet,,200,200,200,200.00,8.00E-12,,10,,1.00,20.00,,105,8.40E-04,,4.76E+09,1.14E+13,151 years,362.4k years,,151,362398,151,362.4K,,,,
Qi 2023,2023,Confocal airy light-sheet,,260,260,1060,415.35,7.17E-11,,10,,1.00,41.54,,419,3.00E-02,,1.19E+09,2.86E+12,37.8 years,90.8k years,,38,90816,38,90.8K,,,,
Vladimirov 2024,2024,Benchtop mesoSPIM,,750,750,2000,1040.04,1.13E-09,,10,,1.00,104.00,,37,4.16E-02,,1.35E+10,3.24E+13,428.5 years,1M years,,429,1028426,429,1M,,100000,42900000,102842600000
Tang 2024,2024,Curved LSFM,,630,630,1250,791.64,4.96E-10,,10,,1.00,79.16,,130,6.45E-02,,3.85E+09,9.23E+12,122 years,292.7k years,,122,292706,122,292.7K,,90000,10980000,26343540000
Glaser 2023,2023,ExA-SPIM (1×),,750,750,1000,825.48,5.63E-10,,10,,1.00,82.55,,725,4.08E-01,,6.90E+08,1.66E+12,21.9 years,52.5k years,,22,52486,22,52.5K,,250000,5500000,13121500000
Glaser 2023,2023,ExA-SPIM (2×),,380,380,500,416.40,7.22E-11,,10,,2.00,83.28,,725,5.23E-02,,6.90E+08,1.66E+12,21.9 years,52.5k years,,22,52486,22,52.5K,,250000,5500000,13121500000
Glaser 2023,2023,ExA-SPIM (3×),,250,250,330,274.24,2.06E-11,,10,,3.00,82.27,,725,1.50E-02,,6.90E+08,1.66E+12,21.9 years,52.5k years,,22,52486,22,52.5K,,250000,5500000,13121500000
Glaser 2023,2023,ExA-SPIM (4×),,190,190,250,208.20,9.03E-12,,10,,4.00,83.28,,725,6.54E-03,,6.90E+08,1.66E+12,21.9 years,52.5k years,,22,52486,22,52.5K,,250000,5500000,13121500000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacureanu 2019,2019,XNH,,100,100,100,100.00,1.00E-12,,10,,1.00,10.00,,250,2.50E-04,,2.00E+09,4.80E+12,63.4 years,152.2k years,,64,152208,64,152.2K,,,,
Humbel 2024,2024,µXCT,,650,650,650,650.00,2.75E-10,,10,,1.00,65.00,,115.18,3.16E-02,,4.34E+09,1.04E+13,137.7 years,330.4k years,,138,330368,138,330.4K,,,,
Wildenberg 2024,2024,µXCT,,345,345,1600,575.33,1.90E-10,,10,,1.00,57.53,,2.88,5.48E-04,,1.74E+11,4.17E+14,5.5k years,13.2M years,,5506,13212414,5.5K,13.2M,,,,
