id,year,img_tech,,vx_x,vx_y,vx_z,vx_avg,vx_vol,,tgt_vx_size,,exp_paper,exp_eff,,img_rate,vol_rate,,mouse_time,human_time,mouse_str,human_str,,mouse_scopes_1yr,human_scopes_1yr,mouse_scopes_1yr_str,human_scopes_1yr_str,,cost_scope,cost_scopes_mouse_1yr,cost_scopes_human_1yr
,,,,nm,nm,nm,nm3,mm3,,nm,,,,,mhz,mm3/sec,,sec,sec,,,,,,,,,$,,
Bosch 2022,2022,SBF - SEM,,50,50,50,50.00,1.25E-13,,2,,1.00,25.00,,2.0,2.50E-07,,3.13E+13,7.50E+16,990.9k years,2378.2M years,,990931,2378234399,990.9K,2378.2M,,,,
Turner 2022,2022,ss - TEMCA,,4,4,40,8.00,5.13E-16,,2,,1.00,4.00,,500.0,2.56E-07,,1.25E+11,3.00E+14,4k years,9.5M years,,3964,9512938,4K,9.5M,,,,
MICrONS 2021,2021,GridTape - autoTEM,,4,4,40,8.62,6.40E-16,,2,,1.00,4.31,,20.8,1.33E-08,,3.01E+12,7.22E+15,95.3k years,228.8M years,,95334,228801538,95.3K,228.8M,,,,
Shapson-Coe 2021,2021,ATUM - mSEM,,4,4,33,8.08,5.28E-16,,2,,1.00,4.04,,190.0,1.00E-07,,3.29E+11,7.89E+14,10.4k years,25M years,,10431,25033296,10.4K,25M,,4000000,41724000000,100133184000000
Phelps 2021,2021,GridTape - TEMCA,,4,4,45,9.41,8.32E-16,,2,,1.00,4.70,,42.7,3.56E-08,,1.46E+12,3.51E+15,46.4k years,111.3M years,,46376,111301370,46.4K,111.3M,,,,
Hoffman 2020,2020,FIB - SEM,,4,4,4,4.00,6.40E-17,,2,,1.00,2.00,,0.2,1.28E-11,,3.13E+14,7.50E+17,9.9M years,23782.3M years,,9909310,23782343988,9.9M,23782.3M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,11,11,40,16.92,4.84E-15,,2,,1.00,8.46,,1.0,4.84E-09,,6.25E+13,1.50E+17,2M years,4756.5M years,,1981862,4756468798,2M,4756.5M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,12,12,50,19.31,7.20E-15,,2,,1.00,9.65,,0.7,4.80E-09,,9.38E+13,2.25E+17,3M years,7134.7M years,,2972793,7134703197,3M,7134.7M,,,,
Hua 2021 cochlea,2021,SBF - SEM,,12,12,50,19.31,7.20E-15,,2,,1.00,9.65,,0.5,3.60E-09,,1.25E+14,3.00E+17,4M years,9512.9M years,,3963724,9512937596,4M,9512.9M,,,,
Schwartz 2018,2018,SBF - SEM,,13,13,32,17.55,5.41E-15,,2,,1.00,8.78,,0.3,1.80E-09,,1.88E+14,4.50E+17,5.9M years,14269.4M years,,5945586,14269406393,5.9M,14269.4M,,,,
Schwartz 2018,2018,SBF - SEM,,13,13,32,17.55,5.41E-15,,2,,1.00,8.78,,0.3,1.80E-09,,1.88E+14,4.50E+17,5.9M years,14269.4M years,,5945586,14269406393,5.9M,14269.4M,,,,
Kornfeld 2017,2017,SBF - SEM,,11,11,29,15.20,3.51E-15,,2,,1.00,7.60,,2.1,7.47E-09,,2.94E+13,7.05E+16,931.5k years,2235.5M years,,931476,2235540335,931.5K,2235.5M,,,,
Svara 2022,2022,SBF - SEM,,14,14,25,16.98,4.90E-15,,2,,1.00,8.49,,2.1,1.02E-08,,3.01E+13,7.23E+16,955.4k years,2293M years,,955420,2293007711,955.4K,2293M,,,,
Svara 2018,2018,SBF - SEM,,9,9,21,11.94,1.70E-15,,2,,1.00,5.97,,5.0,8.51E-09,,1.25E+13,3.00E+16,396.4k years,951.3M years,,396373,951293760,396.4K,951.3M,,,,
Sievers 2024,2024,mSEM,,4,4,35,8.24,5.60E-16,,2,,1.00,4.12,,136.44,7.64E-08,,4.58E+11,1.10E+15,14.5k years,34.9M years,,14526,34860988,14.5K,34.9M,,,,
Yin 2020,2020,autoTEM,,4,4,40,8.62,6.40E-16,,2,,1.00,4.31,,100.00,6.40E-08,,6.25E+11,1.50E+15,19.8k years,47.6M years,,19819,47564688,19.8K,47.6M,,250000,4954750000,11891172000000
Zheng 2022,2022,bdTEM,,4,4,45,8.35,5.83E-16,,2,,1.00,4.18,,288.00,1.68E-07,,2.17E+11,5.21E+14,6.9k years,16.5M years,,6882,16515517,6.9K,16.5M,,500000,3441000000,8257758500000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavakoli 2024,2024,LICONN,,10,10,26,13.46,2.44E-15,,2,,16.00,107.66,,16.65,4.06E-08,,1.54E+16,3.69E+19,487.5M years,1170119.9M years,,487549955,1170119891582,487.5M,1170119.9M,,,,
Gao 2018,2018,ExLSSM,,31,26,42,32.46,3.42E-14,,2,,3.95,64.10,,32.81,1.12E-06,,1.17E+14,2.82E+17,3.7M years,8934.2M years,,3722577,8934184318,3.7M,8934.2M,,,,
Wang 2024,2024,VIPS,,56,56,135,75.09,4.23E-13,,2,,1.93,72.46,,165.85,7.02E-05,,2.71E+12,6.50E+15,85.9k years,206.2M years,,85907,206175582,85.9K,206.2M,,300000,25772100000,61852674600000
Prince 2024,2024,ALSM,,425,425,425,425.00,7.68E-11,,2,,1.00,212.50,,18.03,1.38E-03,,3.47E+12,8.32E+15,109.9k years,263.8M years,,109921,263808586,109.9K,263.8M,,104000,11431784000,27436092944000
Chakraborty 2019,2019,ctALSM,,425,425,425,425.00,7.68E-11,,2,,1.00,212.50,,12.34,9.47E-04,,5.06E+12,1.22E+16,160.6k years,385.5M years,,160605,385451281,160.6K,385.5M,,120000,19272600000,46254153720000
Chen 2023,2023,pLSM,,910,910,5000,1605.77,4.14E-09,,2,,1.00,802.89,,44.5,1.84E-01,,1.40E+12,3.37E+15,44.5k years,106.9M years,,44537,106886940,44.5K,106.9M,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economo 2016,2016,2p tomography,,300,300,1000,448.14,9.00E-11,,2,,1.00,224.07,,16,1.44E-03,,3.91E+12,9.37E+15,123.9k years,297.3M years,,123867,297279300,123.9K,297.3M,,,,
Gong 2016,2016,fMOST,,320,320,2000,589.45,2.05E-10,,2,,1.00,294.72,,4,8.19E-04,,1.56E+13,3.75E+16,495.5k years,1189.1M years,,495466,1189117200,495.5K,1189.1M,,,,
Narasimhan 2017,2017,Oblique light-sheet,,410,410,410,410.00,6.89E-11,,2,,1.00,205.00,,419,2.89E-02,,1.49E+11,3.58E+14,4.7k years,11.4M years,,4730,11351955,4.7K,11.4M,,,,
Migliori 2018,2018,Light-sheet theta,,230,230,5000,641.91,2.65E-10,,2,,1.00,320.96,,105,2.78E-02,,5.95E+11,1.43E+15,18.9k years,45.3M years,,18875,45299703,18.9K,45.3M,,,,
Voleti 2019,2019,SCAPE 2.0,,240,240,240,240.00,1.38E-11,,2,,4.00,480.00,,419,5.79E-03,,9.55E+12,2.29E+16,302.7k years,726.5M years,,302719,726525067,302.7K,726.5M,,400000,121087600000,290610026800000
Chen 2020,2020,Multifocal 2p tomography,,400,400,1000,542.88,1.60E-10,,2,,1.00,271.44,,77,1.23E-02,,8.12E+11,1.95E+15,25.7k years,61.8M years,,25739,61772323,25.7K,61.8M,,,,
Guo 2020,2020,Dual-inverted SPIM,,240,240,240,240.00,1.38E-11,,2,,1.00,120.00,,419,5.79E-03,,1.49E+11,3.58E+14,4.7k years,11.4M years,,4730,11351955,4.7K,11.4M,,250000,1182500000,2837988750000
Chen 2020,2020,Tiling SPIM,,300,300,1500,512.99,1.35E-10,,2,,1.00,256.50,,105,1.42E-02,,5.95E+11,1.43E+15,18.9k years,45.3M years,,18875,45299703,18.9K,45.3M,,,,
Wang 2021,2021,fMOST,,230,230,1000,375.39,5.29E-11,,2,,1.00,187.70,,136,7.19E-03,,4.60E+11,1.10E+15,14.6k years,35M years,,14573,34974036,14.6K,35M,,,,
Zhang 2021,2021,Axially-swept SPIM,,520,520,1000,646.65,2.70E-10,,2,,1.00,323.32,,84,2.27E-02,,7.44E+11,1.79E+15,23.6k years,56.6M years,,23594,56624629,23.6K,56.6M,,,,
Xu 2021,2021,VISOR2 SPIM,,1000,1000,2500,1357.21,2.50E-09,,2,,1.00,678.60,,373,9.33E-01,,1.68E+11,4.02E+14,5.3k years,12.8M years,,5314,12751928,5.3K,12.8M,,,,
Glaser 2022,2022,Open-top light-sheet,,200,200,200,200.00,8.00E-12,,2,,1.00,100.00,,105,8.40E-04,,5.95E+11,1.43E+15,18.9k years,45.3M years,,18875,45299703,18.9K,45.3M,,,,
